종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"097950","CJ제일제당","KOSPI",,"320000","1000","0.31","319000","322500","315500","22242","7116806500","4817339520000","15054186"
"097955","CJ제일제당 우","KOSPI",,"132500","1200","0.91","131900","133300","130600","1852","244276900","175884872500","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","23850","-400","-1.65","24000","24200","23700","25079","598831800","283137326100","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2170","0","0.00","2170","2210","2155","295115","644803410","301396169480","138892244"
"023460","CNH","KOSDAQ","중견기업부","1831","10","0.55","1830","1878","1820","5733","10449421","68113200000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","1260","24","1.94","1237","1275","1229","31928","40250314","59430364560","47166956"
"000480","CR홀딩스","KOSPI",,"6900","70","1.02","6750","6960","6750","72472","497944560","194199340800","28144832"
"065770","CS","KOSDAQ","벤처기업부","1296","18","1.41","1269","1296","1245","74789","95246426","25156824480","19411130"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","1129","24","2.17","1105","1134","1090","71242","79960999","69148067349","61247181"
"000590","CS홀딩스","KOSPI",,"59200","400","0.68","59000","59300","58800","430","25361200","68345334400","1154482"
"012030","DB","KOSPI",,"1704","15","0.89","1680","1709","1680","131500","223466386","342800381832","201173933"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)","2700","-40","-1.46","2740","2790","2665","89932","242236860","15768000000","5840000"
"456440","DB금융스팩11호","KOSDAQ","SPAC(소속부없음)","2075","5","0.24","2065","2075","2060","8131","16811900","11028625000","5315000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","6020","0","0.00","0","0","0","0","0","29136800000","4840000"
"016610","DB금융투자","KOSPI",,"3955","45","1.15","3910","3965","3910","11379","44893100","167875468495","42446389"
"005830","DB손해보험","KOSPI",,"82000","400","0.49","81300","82400","81200","94460","7747758000","5805600000000","70800000"
"000990","DB하이텍","KOSPI",,"56600","1300","2.35","55500","56800","55200","253112","14204268600","2512960080800","44398588"
"139130","DGB금융지주","KOSPI",,"8320","50","0.60","8270","8360","8200","397405","3306124960","1407293330560","169145833"
"060900","DGP","KOSDAQ","중견기업부","1783","24","1.36","1760","1810","1750","86566","154371328","45035422307","25258229"
"025440","DH오토웨어","KOSDAQ","중견기업부","2100","5","0.24","2095","2125","2075","9518","20040175","64640570400","30781224"
"001530","DI동일","KOSPI",,"31700","200","0.63","31300","32100","31000","122185","3865901750","825489460900","26040677"
"000210","DL","KOSPI",,"48200","-700","-1.43","48950","48950","47950","20742","1006702400","1010073608800","20955884"
"001880","DL건설","KOSPI",,"13280","-40","-0.30","13320","13330","13200","6562","87149890","292867611520","22053284"
"000215","DL우","KOSPI",,"22950","0","0.00","22950","23000","22850","278","6368250","38696339250","1686115"
"375500","DL이앤씨","KOSPI",,"36400","-300","-0.82","36700","36850","36400","101685","3720152200","1408447877200","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"23750","-200","-0.84","24000","24000","23250","1460","34773600","50158836250","2111951"
"37550K","DL이앤씨우","KOSPI",,"18400","-30","-0.16","18380","18490","18220","4248","78017970","38895484000","2113885"
